reels_shortcode,views,plays,likes,comments,timestamp
DV-0NKmEegk,205248,474265,20470,414.0,2026-04-08 00:40:21
DV-450dkw4p,31446,100815,-1,24.0,2026-04-08 00:40:21
DV-Kqspk_bl,6166,20200,888,16.0,2026-04-08 00:40:21
DV-xAhGAYnF,30274,86336,1079,21.0,2026-04-08 00:40:21
DV05t2IAbxx,112007,312113,1701,17.0,2026-04-08 00:40:21
DV0s7P2k1fA,498819,1434259,74875,404.0,2026-04-08 00:40:21
DV2bvxmkmSR,43523,154848,4196,28.0,2026-04-08 00:40:21
DV2qC4EE3lF,4765,31471,101,1.0,2026-04-08 00:40:21
DV2y7Q9EVu_,3592,12205,171,5.0,2026-04-08 00:40:21
DV3OXLZkwH4,29582,106563,-1,27.0,2026-04-08 00:40:21
DV535Enk4rY,31634,96979,4218,50.0,2026-04-08 00:40:21
DV55Do2iagP,11278,48058,1644,13.0,2026-04-08 00:40:21
DV6FkpfgTEm,4937,15062,287,14.0,2026-04-08 00:40:21
DV8P-X2gdBc,86408,201841,5344,42.0,2026-04-08 00:40:21
DV8YGPUD-ur,176670,378506,14587,54.0,2026-04-08 00:40:21
DVizz9yCYcN,26708,93938,5372,56.0,2026-04-08 00:40:21
DVki3-6EZS8,46561,124965,6305,123.0,2026-04-08 00:40:21
DVlRrTqkbLd,167246,541635,26047,28.0,2026-04-08 00:40:21
DVn-awZE7T3,49684,148796,2956,50.0,2026-04-08 00:40:21
DVqO9VLEXTi,20519,62875,7143,60.0,2026-04-08 00:40:21
DVqYK0aj9sW,237887,516236,17925,134.0,2026-04-08 00:40:21
DVsJI2YE-QL,4052,14843,207,3.0,2026-04-08 00:40:21
DVtFLoVETX4,4617,13754,425,9.0,2026-04-08 00:40:21
DVtJQbsExLj,269446,1652974,2141,61.0,2026-04-08 00:40:21
DVvsTyPAXPN,17288,52437,1808,13.0,2026-04-08 00:40:21
DVxgd_0EwaR,2347,12021,78,1.0,2026-04-08 00:40:21
DVyEfyDD8NW,875563,2085265,7970,242.0,2026-04-08 00:40:21
DVyJqDvkn79,115740,355627,9798,55.0,2026-04-08 00:40:21
DVyRBOmgU3K,13588,44367,2203,18.0,2026-04-08 00:40:21
DVySEI7kfJk,23366,69414,973,5.0,2026-04-08 00:40:21
DWA9NDRk18e,3356,10968,86,2.0,2026-04-08 00:40:21
DWBT0aPkl0g,14202,39639,1901,71.0,2026-04-08 00:40:21
DWBta3xD4ea,249735,701131,15705,25.0,2026-04-08 00:40:21
DWEKw_vj_Ye,93409,244843,4562,60.0,2026-04-08 00:40:21
DWEZhZ-gabO,7690,26217,491,17.0,2026-04-08 00:40:21
DWG2VexPzVE,58296,164879,2330,15.0,2026-04-08 00:40:21
DWGoV59ErtN,792196,2205246,25803,47.0,2026-04-08 00:40:21
DWJWfxNkgue,378800,874089,47045,125.0,2026-04-08 00:40:21
DWJd-CrCV_B,64461,228194,5935,14.0,2026-04-08 00:40:21
DWMBe8Kk4rW,20035,78743,-1,23.0,2026-04-08 00:40:21
DWMFtk1iYCA,137068,414230,12325,26.0,2026-04-08 00:40:21
DWOSKrGkXmo,40248,127079,2088,43.0,2026-04-08 00:40:21
DWOmBR9E9jO,58547,192622,7678,24.0,2026-04-08 00:40:21
DWQ-wOVExFb,42670,130376,-1,49.0,2026-04-08 00:40:21
DWQ1q-SkazX,83831,242996,9157,144.0,2026-04-08 00:40:21
DWRLIHmEvqp,73239,173461,5285,44.0,2026-04-08 00:40:21
DWSxGmICe2e,29347,114619,2083,299.0,2026-04-08 00:40:21
DWTabDVkvUb,29378,82472,-1,19.0,2026-04-08 00:40:21
DWTlfWgEuYB,204070,452350,30252,128.0,2026-04-08 00:40:21
DWTqNG4k7NV,18785,87267,2224,10.0,2026-04-08 00:40:21
DWTu2s4Elt9,32881,84937,1971,417.0,2026-04-08 00:40:21
DWWGpIZk_ja,95169,346881,16198,99.0,2026-04-08 00:40:21
DWWIUvpxTpv,265305,473483,27800,173.0,2026-04-08 00:40:21
DWWSY0YE8p8,17413,61636,2753,65.0,2026-04-08 00:40:21
DWWTH4mEdw4,25648,73818,1269,12.0,2026-04-08 00:40:21
DWX6pA8zbet,4213,13330,441,11.0,2026-04-08 00:40:21
DWY4e4lyX2l,63456,181709,11184,63.0,2026-04-08 00:40:21
DWYR7esk642,28191,86779,3381,152.0,2026-04-08 00:40:21
DWYmGYbkThd,79738,230974,8129,263.0,2026-04-08 00:40:21
DWYqNVwE3mI,13846,66292,892,1.0,2026-04-08 00:40:21
DWbNhPcEwNT,21875,88058,-1,16.0,2026-04-08 00:40:21
DWeE07rklED,138011,409127,16704,16.0,2026-04-08 00:40:21
DWg-3ChP_kJ,36512,122382,2701,1.0,2026-04-08 00:40:21
DWgD04iExOI,19303,67353,3196,28.0,2026-04-08 00:40:21
DWgRXvskqrJ,48030,106760,4608,56.0,2026-04-08 00:40:21
DWgSHk9E03s,25456,79499,-1,27.0,2026-04-08 00:40:21
DWgfbz9j2m7,33141,96364,2952,31.0,2026-04-08 00:40:21
DWghR0Fk4GT,134361,411442,17662,134.0,2026-04-08 00:40:21
DWgnPL0CYTE,12177,64200,1115,3.0,2026-04-08 00:40:21
DWiObFjhVF3,21104,229988,558,13.0,2026-04-08 00:40:21
DWi_O8yD2qO,195808,460490,21727,157.0,2026-04-08 00:40:21
DWjC2e8k_S6,525352,1251069,33086,239.0,2026-04-08 00:40:21
DWjF34akr-4,36409,119016,2389,11.0,2026-04-08 00:40:21
DWjN7G5khQJ,1118,6169,48,1.0,2026-04-08 00:40:21
DWjQFUGCQ1b,11200,48925,1799,2.0,2026-04-08 00:40:21
DWlJh8VEqXj,28965,105053,973,1457.0,2026-04-08 00:40:21
DWliwYThuSB,3267,17295,460,6.0,2026-04-08 00:40:21
DWlqX3yEwdZ,178242,530472,29944,87.0,2026-04-08 00:40:21
DWlwWKAk3hH,11303,63238,164,1.0,2026-04-08 00:40:21
DWlwhidEl7Q,11620,48288,608,1062.0,2026-04-08 00:40:21
DWn50R4SuOr,102966,353754,16998,116.0,2026-04-08 00:40:21
DWnbjankwpO,62530,158030,-1,31.0,2026-04-08 00:40:21
DWnqoqVkX-L,2146,8408,62,,2026-04-08 00:40:21
DWoGI1iCSDv,43264,136330,2983,19.0,2026-04-08 00:40:21
DWoGRUtE2bj,16115,138488,589,2.0,2026-04-08 00:40:21
DWoO9DCyntz,60175,198275,8917,7.0,2026-04-08 00:40:21
DWoPXpfky77,71846,275627,13982,22.0,2026-04-08 00:40:21
DWoS0TPEyWp,42228,137610,1457,6.0,2026-04-08 00:40:21
DWoTfDtCQg8,29976,121268,2948,2.0,2026-04-08 00:40:21
DWoUWrrE8un,22061,73661,982,26.0,2026-04-08 00:40:21
DWp76lzkwiz,15707,79763,1698,18.0,2026-04-08 00:40:21
DWp8N7DzqWc,39799,148441,1580,28.0,2026-04-08 00:40:21
